Pair,Method,Period,SpearmanFiveMeans,PositiveAdjacent,Q2MinusQ1,Q3MinusQ2,Q4MinusQ3,Q5MinusQ4,Q4Mean,Q5Mean
EURAUD,Primary,Monitor2026,0.6,2,0.6137541528239837,-0.8971973762671467,7.621538461538522,-3.4163218390804646,6.026666666666698,2.6103448275862338
EURAUD,Robustness,Monitor2026,0.7,3,3.842037302725833,0.5376160990712999,-3.0741820768133836,3.678918918918762,-0.41891891891872207,3.2600000000000398
GBPJPY,Primary,Monitor2026,0.8999999999999998,3,-1.3726792009401811,8.721763869132438,7.163596491228518,0.02499999999945679,10.558333333333536,10.583333333332993
GBPJPY,Robustness,Monitor2026,0.49999999999999994,2,-4.520288248337083,5.8227272727275565,-3.521739130434827,5.6458770614688625,0.17826086956520354,5.824137931034066
USDJPY,Primary,RecentCombined,0.49999999999999994,1,-0.28971094346018694,-1.973615397564548,4.501071385578266,-0.3289743589742562,2.6700854700854717,2.3411111111112155
USDJPY,Robustness,RecentCombined,0.19999999999999998,2,-2.770728291316372,3.0623949579832384,3.7698888888889504,-4.101655806182242,5.544888888889046,1.4432330827068038
EURAUD,Primary,RecentCombined,0.6,2,2.0036181139123226,-0.5963960447567102,-1.3248783019543242,4.889954534835674,-2.311353711790409,2.5786008230452655
EURAUD,Robustness,RecentCombined,0.3,2,-1.320724941027916,3.837426920347288,-2.777297192710886,1.1516879688802533,0.037295081967176284,1.1889830508474295
GBPJPY,Primary,RecentCombined,0.0,1,-2.712820098118321,-1.7997082969433245,-0.8877281385280265,8.277263316393618,-2.2385281385280984,6.03873517786552
GBPJPY,Robustness,RecentCombined,0.49999999999999994,3,3.0523687135314956,1.4725409836066112,-3.021272531711441,2.7683223377430632,-0.8561085972851817,1.9122137404578816
USDJPY,Primary,ALL,0.49999999999999994,1,-1.1340036788409393,-0.6799355066151683,3.239200994725258,-1.212634282436278,2.051286764705863,0.8386524822695849
USDJPY,Robustness,ALL,0.7999999999999999,2,-0.326414612990384,0.4537116973088451,1.6891771456057074,-1.5211820927911814,1.9556586270872507,0.4344765342960693
EURAUD,Primary,ALL,0.3,2,-0.8756472977998676,1.3175191643013402,-2.003569558958276,3.466343915343937,-1.4046296296296616,2.061714285714275
EURAUD,Robustness,ALL,0.49999999999999994,2,-0.924049758542787,2.2482750383785,-2.21235064943961,4.349771278268613,-0.7119850187266447,3.6377862595419685
GBPJPY,Primary,ALL,0.09999999999999999,2,-2.8183161592051444,1.3893892554941865,-4.454667520943588,6.7303817123439735,-3.525390625000002,3.204991087343971
GBPJPY,Robustness,ALL,0.3,2,0.2799142125480015,-0.03680241231949888,-1.815883470418804,3.622761317553417,-2.188953488372088,1.4338078291813292
